DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,UTMzone
1,Shi_Asimaki_2018,112,PWT,448.55659278224465,28.1,37.4775,-122.3217,559.973339736986,4148.061142080023,10S
1,Shi_Asimaki_2018,113,QTR,359.83090843713853,29.8,37.7647,-122.4969,544.3117391785443,4179.827664376,10S
1,Shi_Asimaki_2018,114,RP1,142.36290234124834,16.0,37.5072,-122.136,576.3624464996858,4151.4907018621925,10S
1,Shi_Asimaki_2018,115,SAW,646.6621033982927,26.6,37.5711,-122.4169,551.4915733563187,4158.389176971194,10S
1,Shi_Asimaki_2018,116,SBM,924.729422560321,28.0,37.7006,-122.432,550.0711543389988,4172.748594252457,10S
1,Shi_Asimaki_2018,117,SCA,267.5897838860358,60.0,37.4028,-122.0248,586.3107123029249,4140.003990883898,10S
1,Shi_Asimaki_2018,118,SCF,292.48299818092227,28.3,37.2967,-121.8514,601.8012779856666,4128.405441154402,10S
1,Shi_Asimaki_2018,119,SCQ,985.0267983220098,29.5,37.2967,-122.0817,581.3890888446185,4128.182322375144,10S
1,Shi_Asimaki_2018,120,SFO,224.60684656769607,145.0,37.6221,-122.3981,553.1154868588204,4164.057893634888,10S
1,Shi_Asimaki_2018,121,SFS,399.8033369005921,47.6,37.5969,-121.8802,598.8527826322119,4161.681173158524,10S
1,Shi_Asimaki_2018,122,SIM,602.0981745751486,30.0,37.4103,-122.307,561.3279152344242,4140.615188100861,10S
1,Shi_Asimaki_2018,123,SKL,274.4028399085279,28.0,37.6855,-122.4875,545.1877660710835,4171.045075806694,10S
1,Shi_Asimaki_2018,124,SLAC,424.4162145548774,60.0,37.4196,-122.2008,570.717624760483,4141.721322203514,10S
1,Shi_Asimaki_2018,125,SPA,364.9608908593254,27.7,37.7831,-122.3875,553.9341224836687,4181.9265853860325,10S
1,Shi_Asimaki_2018,126,SPK,317.0399895706723,60.0,37.8065,-122.2629,564.8855335794655,4184.602001444506,10S
1,Shi_Asimaki_2018,127,SVR,434.11250301990964,29.2,37.5708,-122.4481,548.7365805022889,4158.339253220386,10S
1,Shi_Asimaki_2018,128,TRI,172.07711038189322,100.0,37.8256,-122.3729,555.1881123672391,4186.650483479644,10S
1,Shi_Asimaki_2018,129,TWP,1032.1859823635446,30.4,37.7503,-122.4478,548.6458004409332,4178.254392948036,10S
1,Shi_Asimaki_2018,130,VAH,351.0045933586455,147.4,37.4042,-122.1402,576.0955275350954,4140.059957070134,10S
1,Shi_Asimaki_2018,131,VIS,612.7957160576717,28.9,37.4933,-122.2967,562.1707015845717,4149.830282595718,10S
1,Shi_Asimaki_2018,132,VTG,379.2051602850564,30.0,37.6972,-122.4561,547.9488296409645,4172.358765301681,10S
1,Shi_Asimaki_2018,133,WDS,453.19544723872167,41.8,37.4285,-122.2551,565.9049854110847,4142.669376908905,10S
1,Shi_Asimaki_2018,134,WIL,250.89708438878927,99.5,37.3162,-121.9022,597.2735587429235,4130.515366587723,10S
1,Shi_Asimaki_2018,135,WML,284.9243865417727,29.8,37.7722,-122.5092,543.224014617406,4180.654025149746,10S
1,Shi_Asimaki_2018,136,WMO,336.893485743371,27.5,37.6839,-122.4886,545.0917456535672,4170.8670304052575,10S
1,Shi_Asimaki_2018,137,YB,571.4929105955542,23.5,37.8088,-122.3609,556.2569352890179,4184.793674137617,10S
3,VSPDB,1,101_280 11,217.5705521472393,89.5,37.341,-121.851,601.7769702456501,4133.3207444257,10S
3,VSPDB,2,ABFI 2126,165.2854375547126,10.97,37.723,-122.237,567.2410553670886,4175.3559636274695,10S
3,VSPDB,3,Agnews_East 81,277.438552355967,29.8,37.411,-121.927,594.9564698289873,4141.00773683047,10S
